3 81
4 47
5 66
3 60
4 86
3 53
4 54
3 82
5 12
5 93
3 47
4 87
3 81
4 -47
5 -66
4 -86
3 84
4 25
3 -81
3 -60
5 -12
4 83
4 37
4 69
5 57
3 -53
5 68
5 46
5 69
3 34
4 -54
4 -87
4 63
4 -25
5 -93
4 92
3 -82
3 25
5 37
5 56
5 38
3 -47
4 49
5 -57
4 91
4 38
4 -83
5 47
3 25
4 95
4 -37
5 -68
4 -69
3 15
4 -63
5 1
5 -46
5 44
3 -81
3 -84
5 -69
5 -37
3 52
3 -34
5 8
4 -92
4 -49
5 38
5 -56
3 -25
5 -38
5 -47
4 80
4 -91
5 9
5 -1
4 94
4 96
3 48
4 56
3 48
3 68
5 -44
4 -38
3 -25
4 -95
4 -80
3 80
5 -8
5 10
4 69
3 -15
3 -52
3 18
4 50
5 36
4 -94
5 44
4 1
3 81
4 38
4 -96
4 -56
5 -38
5 98
4 -69
5 20
5 73
5 -9
5 -10
4 -50
4 -1
4 29
5 17
3 -48
3 -48
5 -36
4 21
3 -68
3 79
5 35
5 -44
3 4
5 -98
3 -80
5 -20
5 64
4 79
4 -38
5 11
3 6
3 84
5 -73
5 7
3 80
4 -29
3 -18
3 77
5 -17
5 7
3 55
3 -81
5 51
3 -79
5 -35
4 17
5 -64
4 92
5 -11
3 38
5 47
3 38
3 -4
4 -21
4 69
4 -79
3 -6
5 29
4 51
5 52
5 66
5 -7
3 -84
3 -80
3 83
4 -17
4 -92
3 46
3 -77
4 89
4 -69
5 50
4 81
5 55
5 35
5 -7
5 -51
4 49
4 -51
3 91
3 71
4 -89
4 3
5 -47
4 -81
3 -55
4 26
3 -38
3 33
5 2
5 -29
5 -52
4 -49
3 60
4 -3
3 -38
5 14
4 34
4 -26
4 27
5 -66
4 55
5 20
3 34
3 -83
5 -50
5 92
5 -55
5 -35
5 61
3 28
4 -34
3 -46
3 -91
3 63
5 -2
4 53
4 16
5 -14
5 -20
5 15
4 -27
5 20
4 9
5 43
5 18
4 -55
5 59
4 56
4 -53
5 97
3 30
4 -16
3 11
3 -71
4 25
3 -33
4 60
3 -60
3 -34
3 -28
4 -9
4 13
4 39
4 93
5 77
4 46
4 24
3 15
3 -63
4 -56
3 3
5 -92
5 -61
4 10
4 -25
5 -15
3 -30
5 66
3 79
5 -20
3 -11
5 -43
3 66
3 -15
4 -60
5 33
5 -18
3 -3
4 80
4 -13
3 -79
4 56
4 -39
5 47
4 -93
5 -59
4 -46
5 50
3 40
3 -66
4 55
